test	name	text	postcode
10FHFZ	Alexandra Park Jobcentre	91 Moss Lane East, Moss Side, Manchester, Greater Manchester, Greater Manchester Central & Cheshire Community	M15 5JB
15HGAE	Didsbury Jobcentre	Danesmoor Court, 95 Palatine Road, West Didsbury, Manchester, Greater Manchester, Greater Manchester Central & Cheshire Community	M20 3JQ
RYQE5	Neston Jobcentre	Burton Road, Neston, Cheshire, Greater Manchester Central & Cheshire Community	CH64 9RE
260KXG	Forfar Jobcentre	Service Road, Forfar, Angus, North Scotland	DD8 3HY
1NW93P	Burnley Jobcentre	Lee-Moran House, Victoria Street, Burnley, Lancashire, Cumbria and Lancashire	BB11 1DD
P813B	Stornoway Jobcentre	13-15 Francis Street, Stornoway, Isle of Lewis, North Scotland	HS1 2NA
7BNFY	Ebbw Vale Jobcentre	Civic Centre, Ebbw Vale, Gwent, South East Wales	NP23 6XG
25BBDM	Thetford Jobcentre	Townsend House, Guildhall Street, Thetford, Norfolk, East Anglia	IP24 2DT
MN671	Darwen Jobcentre	Green Street, Darwen, Blackburn, Lancashire, Cumbria and Lancashire	BB3 1AG
2STD5C	Redcar Jobcentre	Portland House, West Dyke Road, Redcar, Cleveland, Durham, Tees Valley	TS10 1DH
9H2Q0	Porthcawl Jobcentre	Dock Street,, Porthcawl, Mid Glamorgan, South West Wales	CF36 3BL
26E6DS	Mitcham Jobcentre	Boundary House, 317-321 London Road, Mitcham, Surrey, South London	CR4 4YF
2XYQXY	Gainsborough Jobcentre	Guildhall, Marshall's Yard, Gainsborough, Lincolnshire, Lincolnshire and Rutland	DN21 2NA
28J90T	Loftus Jobcentre	52-53 West Road, Loftus, Saltburn-by-Sea, Tees Valley, Durham, Tees Valley	TS13 4RF
425CR	Fraserburgh Jobcentre	2-4 South Harbour Road, Fraserburgh, Aberdeenshire, North Scotland	AB43 9RZ
2C5Q59	Spalding Jobcentre	Broadgate House, Westlode Street, , Spalding, Lincolnshire, Nottinghamshire, Lincolnshire and Rutland	PE11 2BQ
2ASG0M	Ilkeston Jobcentre	58 South Street, Ilkeston, Derbyshire, Derbyshire	DE7 8TU
XWX3M	Brighton Jobcentre	Windsor House, 30-35 Edward Street, Brighton, East Sussex, Surrey and Sussex	BN2 0LN
2YYMK	Gloucester Jobcentre	Cedar House, Spa Road, Gloucester, Gloucestershire, Gloucester & West of England	GL1 1XL
2TXVV7	Telford House Jobcentre	Telford House, Southwater Way, Telford, Shropshire, Staffordshire and Shropshire	TF3 4PD
2A935Q	Barry Jobcentre	9 Holt Road, Barry, South Glamorgan, South East Wales	CF63 4HA
10R41C	Horsham Jobcentre	Marlborough House, 50 East Street, Horsham, West Sussex, Surrey and Sussex	RH12 1HN
2F5QHB	Worsley Jobcentre	Worsley Court, 5 High Street, Walkden, Worsley, Greater Manchester, Greater Manchester Central & Cheshire Community	M28 3AD
21H5NN	Tewkesbury Jobcentre	Council Offices, Gloucester Road, Tewkesbury, Gloucestershire, Gloucestershire, Wiltshire and Swindon	GL20 5TT
1GX1S6	Mansfield Jobcentre	Hill House, Commercial Gate, Mansfield, Nottinghamshire, Lincolnshire, Nottinghamshire and Rutland	NG18 1LN
WNJ6G	Banff Jobcentre	23-25 Castle Street, Banff, Aberdeenshire, North Scotland	AB45 1DJ
2C06TZ	Thornaby Jobcentre	Ingram House, Allensway, Thornaby, Teeside, Durham, Tees Valley	TS17 9HA
2WPTX8	Consett Jobcentre	5A Medomsley Road, Consett, County Durham, Durham, Tees Valley	DH8 5HE
28XK1W	Brentwood Jobcentre	Fairfield House, Fairfield Road, Brentwood, Essex, Essex	CM14 4SB
1AJGMV	Hinckley Jobcentre	Rugby Road, Hinkley, Leicestershire, Leicestershire and Northamptonshire	LE10 0FR
4KG06	Derby Normanton Road Jobcentre	10 Normanton Road, Derby, Derbyshire, Derbyshire	DE1 2GW
1VAYTG	Bristol, Shirehampton Jobcentre	31-32 High Street, Shirehampton, Bristol, South Gloucestershire, Gloucester & West of England	BS11 0DX
C9S8C	West Derby Jobcentre	Springfield House, 416 Eaton Road, West Derby, Liverpool, Merseyside, Merseyside	L12 3HT
21BW1	Huddersfield Jobcentre	Castle House, Market Street, Huddersfield, West Yorkshire, West Yorkshire	HD1 2NE
29D791	Harrow Kings House Jobcentre	Kings House, Clarendon Road, Harrow, Middlesex, West London	HA1 1YJ
HB5QB	Leeds Park Place Jobcentre	21-22 Park Place, Leeds, West Yorkshire, West Yorkshire	LS1 2SL
2ACX2R	Wythenshawe Jobcentre	Simon House, Wavell Road, Wythenshawe, Manchester, Greater Manchester, Greater Manchester Central & Cheshire Community	M22 5RA
F2TJ9	Palmers Green Jobcentre	28 Aldermans Hill, Palmers Green, London, North London	N13 4PN
1G851F	Purley Jobcentre	24 Whytecliffe Road, South Purley, Surrey, South London	CR8 2YU
2W46E2	Dagenham Jobcentre	Chequers Lane, Dagenham, Essex, East London	RM9 6PS
6Q4FR	Haywards Heath Jobcentre	Kingsley House, 31 Boltro Road, Haywards Heath, West Sussex, Surrey and Sussex	RH16 1BP
243DX5	Dover Jobcentre	72-75 Maison Dieu, Dover, Kent, Kent	CT16 1NN
